concept_id,magnitude
366,358.79145832452923
367,339.7497179633938
368,618.3187405152712
369,328.74149104603566
370,321.40503716794774
371,378.50063284882344
372,358.269750905456
373,327.0768322136719
374,420.5293865655549
375,353.9709816931281
376,324.77002530754544
377,323.5988557569217
378,315.0921354233287
379,334.5956485372735
380,308.59903310833033
381,524.755848074099
382,302.9619348406559
383,339.57028109638486
384,394.89295882964507
385,339.9876160949934
386,477.07650994416326
387,373.7084034443833
388,375.9076509771403
389,345.20189839520026
390,326.6019595328253
391,331.3034315534169
392,302.4248295982834
393,306.27934319968335
394,375.48577565071173
395,321.092346060992
396,474.2819444378838
397,445.01763204624876
398,374.119013996562
399,428.91489871568047
400,304.2594231881667
401,332.8908667411888
402,322.6890844493173
403,590.566153853666
404,585.9748916765675
405,295.3440998388687
406,310.59315272036474
407,354.0127026080154
408,400.1731122850906
409,374.6610314195277
410,400.02239752269816
411,392.72679248964414
412,339.1334661517758
413,313.6835572483251
414,444.83958001667634
415,349.85249541304074
416,546.9499960510293
417,381.87685141619295
418,361.49380725761876
419,351.276944853249
420,598.3496868244838
421,467.59229798801243
422,457.8013649788918
423,488.37924707727507
424,341.0864403715823
425,313.87483123433776
426,308.8233517385088
427,663.0628686379641
428,467.78267178381793
429,330.540878029482
430,434.47326388699
431,301.2478577082511
432,309.2470710889902
433,391.525519794086
434,345.61966077936813
435,504.2523340007756
436,509.9650299381465
437,329.84333716216497
438,322.67708945227787
439,306.9377119211713
440,311.8184986531269
441,390.895464718109
442,304.7133449728135
443,417.8895748911891
444,601.9049091206398
445,901.2377024339512
446,345.78848468814977
447,371.46121274284087
448,530.6746612638235
449,411.84701942116953
450,282.43620472284965
451,555.1940380545566
452,362.49309844663367
453,316.494330698275
454,1022.8616131432354
455,551.9282789682038
456,527.2394041107036
457,303.81627245777054
458,302.60066482028924
459,375.71710954396985
460,432.6919232867658
461,772.8423974090256
462,536.6561589511111
463,300.76852738659363
464,441.84684483893216
465,332.7487266769167
466,309.26231801649556
467,343.45978932629805
468,304.63663742726203
469,623.378534235293
470,396.986205072375
471,378.04528607660905
472,342.96326211025007
473,293.9010249602143
474,344.88774283835664
475,328.89867606165353
476,452.15704352757894
477,310.72135221143253
478,298.63346744677983
479,414.14167224103585
480,445.9553466651123
481,437.5668749148026
482,399.8133696503937
483,396.2022241137456
484,303.3952504125191
485,406.2778793196194
486,406.2093242602423
487,425.2694190395996
488,354.0048172782408
489,309.50546393706463
490,328.21909360960126
491,400.4625950087793
492,337.1677106093848
493,373.24690062669106
494,510.48996082961094
495,370.55934070958756
496,624.7327135177329
497,313.6770408251323
498,319.74895824538544
499,426.51618427294306
500,305.7630143351853
501,391.6144783303607
502,312.2732281537028
503,539.1839115114417
504,325.0304564064136
505,520.7049474404193
506,648.3366288656835
507,567.709507459891
508,341.31177687225863
509,477.08976235904265
510,319.77929780166596
511,347.07684644899564
512,299.75662843335886
513,346.3361200795043
514,323.9359014543006
515,557.2212329015601
516,295.5643502048915
517,344.154020502232
518,355.5166289266199
519,314.89051926275715
520,656.1127307587303
521,561.7182965343818
522,316.33273109956644
523,362.29445566027425
524,632.0300929066725
525,324.43813080061227
526,542.3925512144342
527,330.3129243948497
528,366.1211485413369
529,378.3960530095501
530,322.7362864885945
531,347.38847273401916
532,314.92057604540605
533,312.65803364897147
534,290.76383735844865
535,312.88771297130734
536,403.8019374185242
537,322.3334663603455
538,280.6752545272466
539,458.17654100991786
540,314.0776102517266
541,396.53356546815485
542,310.969525791239
543,340.64268404757604
544,323.93229135335423
545,288.12842362211086
546,296.5957054900937
547,287.70215493784053
548,310.9286384197185
549,371.2500603123917
550,303.54965100460686
551,549.1554490814451
552,289.9456357273739
553,380.21276706957724
554,301.3101306426106
555,374.24758013826795
556,487.5889576287009
557,283.18391288025305
558,671.7369578463258
559,340.1103805236053
560,305.97015809477307
561,419.9176914538257
562,311.5961982734734
563,367.519789876882
564,338.7156422663247
565,337.81418756581843
566,453.80704431794584
567,313.3883662093431
568,352.8382748141885
569,397.0398792421911
570,324.8662908918923
571,452.9415595594328
572,329.9080541236326
573,347.95099783397745
574,291.87739035801496
575,536.3553613055265
576,660.1931689279154
577,624.070316917263
578,367.0053974299226
579,575.804208838148
580,312.9157029893249
581,362.4995523856487
582,402.52873770403676
583,313.39005290385103
584,325.4357209187001
585,390.6185449039913
586,387.3684149081819
587,318.46524010179564
588,298.1398648789618
589,292.0462112027453
590,306.35678066080436
591,288.59226970444433
592,318.4220482138917
593,364.1186664105626
594,361.19965687324293
595,340.0104322505649
596,612.7252795523964
597,347.8362719055731
598,311.94431433430873
599,287.020009070402
600,316.3740454099607
601,309.1627129346598
602,269.9824098024983
603,583.4369779205881
604,423.5531914012972
605,404.4607481342973
606,324.4530196201522
607,304.8028269764036
608,355.99561892380007
609,334.7565281968564
610,346.31071711715776
611,441.09435161971487
612,318.794270558632
613,284.04786035977304
614,300.3623868423747
615,365.2042114234064
616,381.33870414993726
