node_id,label,domain,color,weight_importance,Z_ETHICS,Z_MMLU,Z_GPQA_PhD,Z_RedTeaming
174,zro + Glas,MMLU,#3498db,5.610001087188721,0.0,0.032384401316728956,0.0,-0.05106568503847407
175,ect + Battles,MMLU,#3498db,5.6071977615356445,0.0,3.0929120379715322,0.0,1.9687506822377683
176,cher + McCabe,MMLU,#3498db,5.602102279663086,0.0,0.3894543941650296,0.0,-0.2147299084059751
177,olla + Cant,MMLU,#3498db,5.594972133636475,0.0,0.09826344587956194,0.0,-0.15635156399645264
178,abra + imper,MMLU,#3498db,5.591507911682129,0.0,0.30619357298460426,0.0,-0.17078314415045467
179,stell + Roose,MMLU,#3498db,5.590221881866455,0.0,0.8844909297435323,0.0,0.6819293737915024
180,ToSelector + acquaint,RedTeaming,#34495e,5.5873308181762695,0.0,2.6068226427042225,0.0,5.489150030290635
181,iaz + MIN,MMLU,#3498db,5.586195945739746,0.0,1.1333763697788084,0.0,0.015373560507690858
182,的标准 + ien,RedTeaming,#34495e,5.580565452575684,0.0,0.6829707689976214,0.0,0.8586502912083958
183,nodeValue + drive,RedTeaming,#34495e,5.578046798706055,0.0,0.047000431795893964,0.0,1.1633651023939617
184,tenant + Shine,RedTeaming,#34495e,5.576049327850342,0.0,0.8090423257501986,0.0,1.1428312863430679
185,illos + uffy,MMLU,#3498db,5.573348045349121,0.0,1.204993934829823,0.0,-0.16924052460900574
186,ugin + Gund,MMLU,#3498db,5.5719475746154785,0.0,2.4126462025688595,0.0,1.3804460413516133
187,Cous + mere,RedTeaming,#34495e,5.567149639129639,0.0,1.803792351745355,0.0,2.6122465907568837
188,opic + 重点工作,RedTeaming,#34495e,5.56473445892334,0.0,1.5967552623721961,0.0,1.6600327330342004
189,McB + Yan,RedTeaming,#34495e,5.5581955909729,0.0,0.1752485848115671,0.0,0.6072730671551079
190,istica + alion,MMLU,#3498db,5.555576324462891,0.0,2.520805689971823,0.0,1.250363724562761
191,inyin + Enlarge,MMLU,#3498db,5.552435874938965,0.0,0.1726124215604372,0.0,-0.2680440297333303
192,prelim + lug,MMLU,#3498db,5.551914215087891,0.0,0.19438173470531486,0.0,0.14134467050824356
193,Gab + Credits,MMLU,#3498db,5.549046516418457,0.0,0.9633042114751237,0.0,0.42991099111496367
194,就是一个 + inburgh,RedTeaming,#34495e,5.544650554656982,0.0,0.8215327883884989,0.0,1.2624044815685118
195,уча + lạc,MMLU,#3498db,5.542222499847412,0.0,0.36326800418615496,0.0,0.23479358042129986
196,backing + anner,MMLU,#3498db,5.540500164031982,0.0,0.23082718639697986,0.0,-0.14829000355311922
197,gele + aler,MMLU,#3498db,5.534492015838623,0.0,1.7828583751177411,0.0,0.9958913254999778
198,nova + Roz,RedTeaming,#34495e,5.529544830322266,0.0,0.24670023459903778,0.0,0.8134398520036626
199,意见反馈 + autob,RedTeaming,#34495e,5.5281829833984375,0.0,1.3050382292346865,0.0,1.573500946806976
200,BuilderFactory + ILA,RedTeaming,#34495e,5.525298595428467,0.0,0.18592848211890606,0.0,0.34429242071752353
201,PageIndex + rin,RedTeaming,#34495e,5.522501468658447,0.0,0.8192957830723391,0.0,1.0607990577303863
202,bler + jednoc,RedTeaming,#34495e,5.520660877227783,0.0,0.6814184104825789,0.0,2.6489791858682272
203,вообще + rex,RedTeaming,#34495e,5.517855644226074,0.0,0.27998981255077904,0.0,0.4198512530319068
204,Mitar + laps,MMLU,#3498db,5.514197826385498,0.0,0.7311728088148478,0.0,-0.043605971217512196
205,ltk + Birch,RedTeaming,#34495e,5.510197162628174,0.0,1.1552195508383738,0.0,2.3793733833452233
206,anol + Lung,MMLU,#3498db,5.509947299957275,0.0,0.874964968508833,0.0,-0.17371159165569167
207,printStats + uae,MMLU,#3498db,5.5051679611206055,0.0,0.1838729597228741,0.0,-0.14241190863802278
208,retch + ini,RedTeaming,#34495e,5.500964164733887,0.0,1.8848634447072625,0.0,3.014480121836626
209,kart + nder,RedTeaming,#34495e,5.498589992523193,0.0,0.5327862123771334,0.0,1.2465167227690193
210,working + 作者所有,RedTeaming,#34495e,5.496067047119141,0.0,2.3321102824207074,0.0,4.025140759269497
211,enc + ächt,MMLU,#3498db,5.49085807800293,0.0,0.20249122114214568,0.0,-0.14097870350918199
212,collaps + erg,MMLU,#3498db,5.488130569458008,0.0,0.6662695965663716,0.0,0.5476823101270738
213,arat + pkt,ETHICS,#e74c3c,5.48494815826416,0.0,-0.05227878973119386,0.0,-0.046785835582376395
214,esModule + ContentView,MMLU,#3498db,5.483538627624512,0.0,0.057645284304519456,0.0,-0.08196170121819858
215,Moderator + vine,MMLU,#3498db,5.481204032897949,0.0,0.6857028477284747,0.0,-0.32484781074417074
216,参加会议 + VOKE,RedTeaming,#34495e,5.476320743560791,0.0,0.31852458404764744,0.0,1.2647760053824197
217,acl + 太多的,MMLU,#3498db,5.4750471115112305,0.0,2.3720704145892015,0.0,0.6475459766962588
218,serge + ussy,RedTeaming,#34495e,5.467286109924316,0.0,1.0459404758811086,0.0,2.169080303583051
219,heid + Prep,MMLU,#3498db,5.4661712646484375,0.0,0.6536755956730372,0.0,-0.24386470355957837
220,xxxx + troop,MMLU,#3498db,5.462002754211426,0.0,1.0784077060166912,0.0,-0.23176162000788192
