node_id,label,domain,color,weight_importance,Z_Math_Logic,Z_MMLU,Z_TruthfulQA,Z_RedTeaming
1732,cond + Mari,TruthfulQA,#2ecc71,3.8437767028808594,-0.7883010019631761,-0.343507411803608,1.4596715125462605,-0.09319315147163684
1733,了自己的 + apan,RedTeaming,#34495e,3.8433282375335693,-0.984616161033395,-0.669169686675605,-0.6093399850126395,-0.5626870027387556
1734,质量问题 + andard,TruthfulQA,#2ecc71,3.8431317806243896,-0.6699319964332725,-0.5013487578542162,0.5384753269912103,-0.38773172370568904
1735,onen + lương,TruthfulQA,#2ecc71,3.8414037227630615,-0.6103966382394767,-0.8154393021199938,0.0994925372994769,-0.7725980553882057
1736,Bez + Loren,TruthfulQA,#2ecc71,3.8411121368408203,-0.5128379086169981,-0.863312595185035,0.344078571470999,-0.5412113379915494
1737,高素质 + icker,RedTeaming,#34495e,3.840613842010498,-0.7471566005897097,-0.6502048694039341,-0.648455062201545,-0.34434524448542275
1738,Pall + STEP,TruthfulQA,#2ecc71,3.839587926864624,-0.30228028794071893,0.9250226330853007,1.1501296110875598,0.34459836790907356
1739,anmar + informational,RedTeaming,#34495e,3.8389103412628174,-0.8542059846880234,-0.7733548466542062,-0.8730805673351433,-0.5986076542880415
1740,Coh + ule,Math_Logic,#e74c3c,3.838515281677246,-0.711275748981115,-0.9835074303404506,-0.9197047746775608,-0.9259215726663479
1741,remen + nage,TruthfulQA,#2ecc71,3.8379547595977783,-0.5211993205901833,-0.8471356997148812,-0.4401581314725386,-0.7648972606978252
1742,ович + emer,TruthfulQA,#2ecc71,3.8370234966278076,-0.51780734513063,-0.619020015829974,-0.23152887435513508,-0.6550717877388372
1743,scal + ยอด,Math_Logic,#e74c3c,3.8368079662323,-0.5141803895179972,-0.6515810416348647,-0.8451154605590184,-0.8043714090623622
1744,arhus + reck,RedTeaming,#34495e,3.8358864784240723,-0.6479545050138121,-0.7033802664946867,-0.886950675658883,-0.5282273697477294
1745,icate + rost,RedTeaming,#34495e,3.8353748321533203,-0.7967883746260839,-0.462119643666051,-0.3745350387142494,0.37567829968834
1746,不排除 + Stephan,Math_Logic,#e74c3c,3.834775924682617,0.10296898815967051,-0.3543363726471122,-0.7468451946667122,-0.36460635840544686
1747,yal + zas,MMLU,#3498db,3.8337833881378174,-0.7042138339279517,-0.6932445726509437,-0.9248294163945004,-0.9189056009268399
1748,bob + mimeType,RedTeaming,#34495e,3.833188056945801,-0.2796545311387186,0.012792091910689791,-0.0033640261746051858,0.22214448760229052
1749,trick + okin,RedTeaming,#34495e,3.8328123092651367,-0.09053456236076383,0.6992201436982124,1.5748033280915388,2.667044135496522
1750,uda + illard,MMLU,#3498db,3.831876516342163,-0.6226174180306246,-0.14766976336619175,-0.7668639912551521,-0.5328847528648998
1751,beck + usp,Math_Logic,#e74c3c,3.8308660984039307,0.4663504637530271,-0.7439739412193707,-0.5157272898773256,-0.8653599455314069
1752,patter + lyr,Math_Logic,#e74c3c,3.8304779529571533,-0.08954563498882331,-0.09117333414269178,-0.5091413070938255,-0.13650339791417487
1753,供大家 + 不具备,TruthfulQA,#2ecc71,3.828892230987549,-0.709164065203755,-0.8905956134867389,-0.6528174467889356,-0.8137633201903689
1754,也不想 + 力还是,TruthfulQA,#2ecc71,3.828129529953003,-0.8174831479117539,-0.39028609676594495,-0.03850744532119663,-0.22526991674572355
1755,etat + GNU,Math_Logic,#e74c3c,3.8278090953826904,-0.5041849046668173,-0.7987865827957228,-0.5808024371538677,-0.6386308798359818
1756,lint + eins,MMLU,#3498db,3.8274779319763184,-0.7400843119136262,-0.49837603133866337,-0.9469536806923682,-0.6322399904995644
1757,McN + Sutton,TruthfulQA,#2ecc71,3.8265879154205322,-0.6147458236927983,0.21673529577039571,0.24427324235403913,-0.5321922435461064
1758,Sac + oldt,TruthfulQA,#2ecc71,3.826387882232666,-0.6676345878558705,-0.8272136728376602,-0.5876024444812629,-0.792905105273755
1759,OPTIONAL + ugi,Math_Logic,#e74c3c,3.8255581855773926,0.10789224533550197,-0.48952276552429663,-0.8407558752651834,-0.8267152769581994
1760,我还是 + anges,RedTeaming,#34495e,3.8254175186157227,-0.8044725325333527,-0.7929943081313993,-0.5031744479946706,-0.36623286395692767
1761,ripp + lient,TruthfulQA,#2ecc71,3.8241114616394043,-0.6925451628575093,-0.48509096282569597,-0.337579611906706,-0.765429878066703
1762,扮演游戏 + thù,TruthfulQA,#2ecc71,3.824045181274414,-0.686332370884752,-0.9060967024526182,-0.16696565768297442,-0.5647423636604515
